category_title,pageid,size,wordcount,snippet,timestamp,query_string,category,jac,lev,wikidata_url,wikidata_entity
Category:Theories of language,22337303,120,0,"(Definite description) Unilalianism Verification <span class=""searchmatch"">theory</span> Concepts Ambiguity Cant Linguistic relativity <span class=""searchmatch"">Language</span> Truth-bearer Proposition Use–mention distinction",2017-11-16T16:13:15Z,theory of language,Theories of language,0.4545454545454546,4,NA,NA
Category:Philosophy of language,744038,730,73,"Philosophy <span class=""searchmatch"">of</span> <span class=""searchmatch"">language</span> is the branch <span class=""searchmatch"">of</span> philosophy that studies <span class=""searchmatch"">language</span>. Its primary concerns include the nature <span class=""searchmatch"">of</span> linguistic meaning, reference, <span class=""searchmatch"">language</span> use",2020-04-25T17:59:38Z,theory of language,Philosophy of language,0.56,7,http://www.wikidata.org/entity/Q4532287,Mikhail Epstein
Category:Philosophy of language,744038,730,73,"Philosophy <span class=""searchmatch"">of</span> <span class=""searchmatch"">language</span> is the branch <span class=""searchmatch"">of</span> philosophy that studies <span class=""searchmatch"">language</span>. Its primary concerns include the nature <span class=""searchmatch"">of</span> linguistic meaning, reference, <span class=""searchmatch"">language</span> use",2020-04-25T17:59:38Z,theory of language,Philosophy of language,0.56,7,http://www.wikidata.org/entity/Q55760938,Rebecca Roache
Category:Essays in literary theory,17611284,126,4,"Essays in <span class=""searchmatch"">literary</span> <span class=""searchmatch"">theory</span>.",2018-07-09T08:13:06Z,theory of ' literary,Essays in literary theory,0.5862068965517242,17,NA,NA
Category:Literary theory,3101549,192,0,"Wikimedia Commons has media related to <span class=""searchmatch"">Literary</span> <span class=""searchmatch"">theory</span>.",2021-07-01T22:43:52Z,theory of ' literary,Literary theory,0.5238095238095238,15,NA,NA
Category:Terms in literary theory,17707884,62,0,NA,2016-09-25T18:57:42Z,theory of ' literary,Terms in literary theory,0.5714285714285714,16,NA,NA
Category:Communication theorists,22048965,220,15,"This category includes all scientists who explore the <span class=""searchmatch"">communication</span> <span class=""searchmatch"">theory</span>. See also: Category:Mass media theorists",2020-05-22T05:49:50Z,theory of communication,Communication theorists,0.5517241379310345,21,http://www.wikidata.org/entity/Q71488,Friedemann Schulz von Thun
Category:Communication theorists,22048965,220,15,"This category includes all scientists who explore the <span class=""searchmatch"">communication</span> <span class=""searchmatch"">theory</span>. See also: Category:Mass media theorists",2020-05-22T05:49:50Z,theory of communication,Communication theorists,0.5517241379310345,21,http://www.wikidata.org/entity/Q76357,Jürgen Habermas
Category:Communication theorists,22048965,220,15,"This category includes all scientists who explore the <span class=""searchmatch"">communication</span> <span class=""searchmatch"">theory</span>. See also: Category:Mass media theorists",2020-05-22T05:49:50Z,theory of communication,Communication theorists,0.5517241379310345,21,http://www.wikidata.org/entity/Q90586,Karl Küpfmüller
Category:Communication theorists,22048965,220,15,"This category includes all scientists who explore the <span class=""searchmatch"">communication</span> <span class=""searchmatch"">theory</span>. See also: Category:Mass media theorists",2020-05-22T05:49:50Z,theory of communication,Communication theorists,0.5517241379310345,21,http://www.wikidata.org/entity/Q90748,Ralf van Bühren
Category:Communication theorists,22048965,220,15,"This category includes all scientists who explore the <span class=""searchmatch"">communication</span> <span class=""searchmatch"">theory</span>. See also: Category:Mass media theorists",2020-05-22T05:49:50Z,theory of communication,Communication theorists,0.5517241379310345,21,http://www.wikidata.org/entity/Q92312,Harald Wohlrapp
Category:Communication theorists,22048965,220,15,"This category includes all scientists who explore the <span class=""searchmatch"">communication</span> <span class=""searchmatch"">theory</span>. See also: Category:Mass media theorists",2020-05-22T05:49:50Z,theory of communication,Communication theorists,0.5517241379310345,21,http://www.wikidata.org/entity/Q92760,Claude Shannon
Category:Communication theorists,22048965,220,15,"This category includes all scientists who explore the <span class=""searchmatch"">communication</span> <span class=""searchmatch"">theory</span>. See also: Category:Mass media theorists",2020-05-22T05:49:50Z,theory of communication,Communication theorists,0.5517241379310345,21,http://www.wikidata.org/entity/Q92826,Terry Winograd
